Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_yes,plan,primary_genre,segment,segment_label,frequency_band,recommendation_band,is_high_intent,record_count
35~60,Others,More than 2 years,Smartphone,Family Plan-Rs 179/month,Yes,Family Plan-Rs 179/month,Podcast,Pop,Afternoon,Sadness or melancholy,Once a week,Recommendations,5,Daily,Comedy,,,Short (less than 15 minutes),Satisfied,1,family,Pop,,Unsampled,Medium,High rating,0,1
20~35,Male,6 months to 1 year,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Podcast,Rock,Morning,Social gatherings or parties,Rarely,Recommendations,1,Once a week,Technology,Discussion,Both,Short (less than 15 minutes),Dissatisfied,0,family,Rock,,Unsampled,Low,Low rating,0,1
12~20,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Pop,Morning,Relaxation and stress relief,Rarely,Recommendations,4,Several times a week,,,Both,Long (more than 30 minutes),Very Satisfied,0,free,Pop,,Unsampled,Low,High rating,0,1
12~20,Female,Less than 6 months,Computer or laptop,Student Plan-Rs 59/month,No,Individual Plan- Rs 119/month,Music,Rock,Night,Social gatherings or parties,Rarely,Playlists,5,Daily,,,Well known individuals,Medium (15-30 minutes),Satisfied,0,student,Rock,0.0,Segment 0,Low,High rating,0,1
12~20,Male,1 year to 2 years,Smartphone,Individual Plan- Rs 119/month,Yes,,Podcast,Pop,Evening,Social gatherings or parties,Once a week,Playlists,4,Rarely,,Interview,Well known individuals,,Very Satisfied,1,individual,Pop,,Unsampled,Medium,High rating,0,1
12~20,Female,More than 2 years,Smartphone,Student Plan-Rs 59/month,Yes,,Podcast,Jazz,Night,Social gatherings or parties,Never,Recommendations,3,Several times a week,Comedy,,,Short (less than 15 minutes),Neutral,1,student,Jazz,,Unsampled,Low,Neutral rating,0,1
35~60,Others,Less than 6 months,Tablet,Family Plan-Rs 179/month,No,,Music,Jazz,Night,Sadness or melancholy,Rarely,Recommendations,1,Once a week,Sports,Story telling,Both,Medium (15-30 minutes),Very Dissatisfied,0,family,Jazz,0.0,Segment 0,Low,Low rating,0,1
12~20,Male,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Evening,Sadness or melancholy,Never,Playlists,4,Rarely,,Story telling,Both,,Dissatisfied,1,free,Melody,0.0,Segment 0,Low,High rating,0,1
20~35,Female,1 year to 2 years,Smart speakers or voice assistants,Family Plan-Rs 179/month,Yes,Student Plan-Rs 59/month,Music,Rap,Night,Sadness or melancholy,Once a week,Recommendations,4,Rarely,Sports,Discussion,Famous personalities,Long (more than 30 minutes),Dissatisfied,1,family,Rap,,Unsampled,Medium,High rating,0,1
20~35,Male,More than 2 years,Smart speakers or voice assistants,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Podcast,Melody,Afternoon,Social gatherings or parties,Rarely,Playlists,3,Rarely,,Discussion,Both,Short (less than 15 minutes),Satisfied,0,individual,Melody,,Unsampled,Low,Neutral rating,0,1
20~35,Others,1 year to 2 years,Smartphone,Family Plan-Rs 179/month,No,,Music,Pop,Morning,Sadness or melancholy,Several times a week,Playlists,1,Never,Technology,Story telling,Famous personalities,Short (less than 15 minutes),Very Dissatisfied,0,family,Pop,,Unsampled,High,Low rating,0,1
20~35,Female,More than 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/month,Music,Classical,Evening,Sadness or melancholy,Once a week,Playlists,4,Once a week,Sports,Interview,,Short (less than 15 minutes),Satisfied,0,free,Classical,,Unsampled,Medium,High rating,0,1
12~20,Female,6 months to 1 year,Computer or laptop,Family Plan-Rs 179/month,No,Individual Plan- Rs 119/month,Music,Pop,Afternoon,Relaxation and stress relief,Rarely,Recommendations,5,Rarely,,,Famous personalities,Long (more than 30 minutes),Neutral,0,family,Pop,,Unsampled,Low,High rating,0,1
